"Style","Stile"
"Enabled Review","Recensioni attive"
"Widget products","Widget nella scheda prodotto"
"Widget preferences","Configurazione widget"
"Feedaty code","Merchant code"
"Feedaty preferences","Configurazione Feedaty"
"Review products","Recensioni nella scheda prodotto"
"Newest reviews first","Recensioni recenti prima"
"Old reviews first","Recensioni vecchie prima"
"Position Cms page","Posizione contenuto"
"Position Page content heading","Posizione intestazione contenuto"
"Position Cart sidebar","Posizione barra carrello"
"Position Wishlist sidebar",Posizione barra lista dei desideri"
"Position Right product viewed","Posizione prodotti visti"
"Position Right product compared","Posizione prodotti comparati"
"Position Right poll","Posizione sondaggio"
"Position Right","Posizione destra"
"Position Left","Posizione sinistra"
"Position Bottom container","Posizione pie di pagina"
"Number of reviews","Numero di recensioni"
"After Content","Posizione contenuto"
"Product Related","Posizione prodotti collegati"
"After Price","Posizione prezzo"
"After Stock Informations","Posizione inventario"
"Simple","Posizione simple"
"Extra child","Posizione extra"
"Add to cart","Posizione aggiungi al carrello"
"Product description","Posizione descrizione"
"Product attributes","Posizione attributi"
"Product upsell","Posizione prodotti simili"
"Product additional","Posizione informazioni addizionali"
"Product tag list","Posizione tag dei prodotti"
"Order options","Opzioni notifica ordine"
"Initial orders export","Esportazione ordini precedenti"
"Export to csv","Esporta in csv"
"Save now","Salva ora"
"Read all reviews","Leggi tutte le recensioni"
"Customers' Reviews","Recensioni degli utenti"